genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Ccl4,0.0,0.0,0.08091105,0.0,0.042123787,0.0,0.0,0.0,0.0,0.0,0.0,0.005166459,0.008282767,0.00075901055,0.0038658082,0.012776425,0.010864408,0.009716621,0.03635683,0.013718938,0.03612985,0.076072484,0.075163186,0.11866327,0.1904884,0.18130083,0.3218819,0.37120906,0.52481294,0.6352112,0.75629336,0.85194,0.89598525,0.7860164,1.2202241,1.2540123,1.121342,1.7819324,2.0390809,1.5790123,2.141771,1.6101394,1.4784734,1.5191289,1.8388495,1.7876533,1.2235546,1.6136029,1.9504588,1.8548193
Ube2l6,0.0,0.19922498,0.06252371,0.14091489,0.26482713,0.06526028,0.12940538,0.07473565,0.3727471,0.3961949,0.345997,0.368945,0.6435683,0.95334494,0.9943455,1.0327929,1.0600297,1.1059831,1.0702211,1.132916,1.1679417,1.3190671,1.4118478,1.4635122,1.452678,1.5651542,1.5991526,1.5581975,1.5899701,1.5837957,1.5678687,1.5659083,1.6270566,1.6125939,1.6192638,1.5833589,1.7435079,1.5524688,1.6135277,1.6622474,1.5388345,1.4223347,1.4154441,1.5319504,1.3522751,1.4173373,1.4686548,1.2923615,1.5104387,1.0284929
Srgn,2.1128619,2.2096214,2.5348544,2.6479783,2.45968,2.7143288,2.4370625,2.1900918,3.178891,2.9258542,3.016611,2.9600885,3.0758507,3.1225986,3.147965,3.112667,3.0974777,3.124137,3.1327622,3.2388859,3.214563,3.3907692,3.4904597,3.515385,3.5905907,3.6169307,3.5684435,3.5381973,3.636579,3.7165756,3.5723963,3.7077558,3.6883454,3.6749773,3.7134128,3.729679,3.6461055,3.8021934,3.7699625,3.9238613,3.9825294,3.9101052,3.9190593,3.8928654,3.8334856,4.001435,4.169714,3.8679857,3.9368477,3.559343
Snx10,0.0,0.0,0.09609277,0.11057373,0.12675248,0.09877614,0.100199394,0.23553397,0.16513735,0.09826484,0.07813372,0.090975046,0.16015649,0.22315907,0.22983812,0.17725645,0.19389771,0.23249167,0.27646717,0.295391,0.35274372,0.38103756,0.4408605,0.5658268,0.5602333,0.47569337,0.53147656,0.56233454,0.6149805,0.69289744,0.6915153,0.80067277,0.71362215,0.7817552,0.9890711,0.901568,0.75269115,0.94019264,1.1384728,1.2611042,1.1997136,1.2119908,1.1445209,1.2838267,1.4401317,1.395598,1.4226042,0.9813212,1.854041,2.102595
Plin3,0.0,0.0,0.16990201,0.16044931,0.03739302,0.19862407,0.15566102,0.027782613,0.042550076,0.0434144,0.028169416,0.026226936,0.013658999,0.047334515,0.05216822,0.03880764,0.04797058,0.06871839,0.059664313,0.05654278,0.054496087,0.100793734,0.08681884,0.104364045,0.13368593,0.18352637,0.34701154,0.2926848,0.36857307,0.46418077,0.6677721,0.76802117,0.80913806,0.79636854,0.84047914,0.9696014,1.0856707,0.94000244,0.9864114,0.9468776,0.99066395,0.96855766,1.0088787,1.0274333,1.2053497,0.73746556,0.6296117,0.7900915,0.39578888,0.0
Sdc4,0.43550077,0.28642148,0.27839693,0.30902085,0.26643598,0.0,0.08982729,0.10810896,0.06976245,0.03609899,0.038306307,0.03637602,0.040976625,0.03322134,0.042370908,0.036781397,0.040444337,0.05048256,0.0652968,0.040508132,0.07335954,0.07264756,0.10581783,0.14993574,0.20254627,0.17995878,0.31579274,0.41062793,0.3511072,0.4955587,0.50007993,0.5196361,0.5995847,0.66576135,0.88530344,0.95110303,0.7599026,0.94565344,1.0769153,1.2135458,1.171794,1.2954378,1.2158221,1.1905694,1.2540921,1.2849779,0.7784129,1.3370543,1.222355,2.8432586
Slc15a3,0.53281075,0.35458228,0.0,0.0,0.17037907,0.119773455,0.27145976,0.062756374,0.21275103,0.19496983,0.13496594,0.18783079,0.2661664,0.2368697,0.27506885,0.28649038,0.26163307,0.31158242,0.27822784,0.34171978,0.3234889,0.41762388,0.5084314,0.60190135,0.6374525,0.6927955,0.7174545,0.67981714,0.804892,0.78685045,0.7914465,0.96093535,0.9797817,1.056719,1.0893122,1.1946132,0.9479314,1.1745226,1.2226515,1.0872074,1.3336266,1.3287777,1.285171,1.4079509,1.3128176,1.2600743,1.1500837,1.615305,1.4906176,2.7327285
Tmbim6,0.96831155,1.6566935,1.1074232,1.0661083,1.065232,1.2232697,1.1366224,0.6822001,0.96653867,0.7954824,0.7707945,0.75574964,0.8833749,0.9190249,0.9827928,0.92605853,0.9261415,0.9814528,1.0632273,1.172798,1.2163824,1.4055325,1.5123274,1.5421629,1.49995,1.4596956,1.5871241,1.4985867,1.6367754,1.5801679,1.5500915,1.694117,1.732723,1.7170911,1.7872013,1.6846071,1.9586515,1.825983,1.7882805,1.8968332,1.8177925,1.8046879,1.9146804,1.8138524,2.0175526,2.0243077,1.7436113,1.857961,2.1188366,2.3010075
Csf1,0.0,0.1318458,0.0,0.1517641,0.044018712,0.0,0.062591136,0.0,0.060955644,0.10177439,0.1235841,0.1360801,0.14342879,0.1366947,0.10933692,0.127763,0.1333162,0.15116408,0.1780137,0.22467884,0.23722635,0.27029803,0.30247146,0.331175,0.46464977,0.47242504,0.49119997,0.7181938,0.79482603,0.65326935,0.82520247,0.9270425,1.041935,0.9533435,1.1349083,1.1916552,1.2643074,1.150392,1.2609475,1.1919171,1.3063776,1.3067613,1.3315516,1.0926337,1.1506519,1.1561654,0.851252,1.0047747,1.3474295,1.8548193
Socs1,0.0,0.0,0.0,0.05172296,0.0,0.06686904,0.17571537,0.3562483,0.049244367,0.04334688,0.028336197,0.039799213,0.05626324,0.0714814,0.08751128,0.0718009,0.09071209,0.11070371,0.12681656,0.13800713,0.18375854,0.23950961,0.41256228,0.39127755,0.48181486,0.5268178,0.49109057,0.4910478,0.58036655,0.7507915,0.63435805,0.6305935,0.7872608,0.7662924,0.7795104,0.74593997,0.7350796,0.6214584,0.87091017,0.75913274,0.811602,0.7702199,0.737314,0.71750295,0.714005,0.82656586,0.89114803,1.134882,0.90514636,0.0
