celltype,Organism,Dosage,Organism_Dosage,Time,replicate,mean_virus_counts,mean_virus_normalized_counts,fraction_virus_positive_cells,cell_counts,cells_with_virus
AlveolarMacrophages,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",3 dpi,3,0.1986754966887417,0.001031715305897685,0.013245033112582781,151,2
AlveolarMacrophages,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",2 dpi,1,29.085714285714285,0.07816623707928867,0.6,105,63
AlveolarMacrophages,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",2 dpi,2,21.974025974025974,0.158800529753488,0.7272727272727273,77,56
AlveolarMacrophages,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",2 dpi,3,36.58064516129032,0.17061919687103327,0.6612903225806451,62,41
AlveolarMacrophages,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,1,21.935897435897434,0.08493736533783916,0.5256410256410257,78,41
AlveolarMacrophages,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,2,8.477777777777778,0.057197440186447394,0.4888888888888889,90,44
AlveolarMacrophages,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,3,7.511111111111111,0.033046929845338864,0.1,90,9
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,1,2.979591836734694,0.015800269433413852,0.3129251700680272,147,46
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,2,0.09722222222222222,0.00045520409586309585,0.037037037037037035,216,8
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,3,0.02100840336134454,0.00011026634044950336,0.018907563025210083,476,9
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,1,2.6958333333333333,0.012708914502376293,0.05416666666666667,240,13
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,2,0.895910780669145,0.002656507616937967,0.09293680297397769,269,25
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,3,2.764705882352941,0.010391897860088144,0.25,272,68
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,1,0.6396396396396397,0.0018173977909376243,0.2072072072072072,111,23
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,2,0.6953125,0.00205416155460844,0.171875,128,22
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,3,1.0056818181818181,0.003481280818325776,0.26136363636363635,176,46
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,1,0.0,0.0,0.0,245,0
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,2,0.0,0.0,0.0,312,0
AlveolarMacrophages,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,3,0.0,0.0,0.0,362,0
Artery,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,1,0.0,0.0,0.0,42,0
Artery,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,2,0.0,0.0,0.0,30,0
