,index,freq,total,organism,time,hamster,dummy,dose,total_log10
320,SmoothMuscle,0.01871544023819651,35559.33645257337,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,4.550953648314077
321,MonocyticMacrophages,0.017014036580178648,32326.66950233943,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,4.509560963155852
322,Myofibroblast,0.01658868566567418,31518.502764780944,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,4.498565578854389
323,Plasma cells,0.011909825606125054,22628.668651637603,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,4.3546590031701085
324,ILC2,0.010208421948107189,19396.00170140366,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,4.287712213539495
325,InterstitialMacrophages,0.0076563164610803916,14547.001276052744,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,4.1627734769311955
326,Fibroblasts,0.005104210974053594,9698.00085070183,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.9866822178755146
327,Mast cells,0.005104210974053594,9698.00085070183,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.9866822178755146
328,AT1,0.004253509145044662,8081.667375584858,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.9075009718278895
329,Erythrocytes,0.0038281582305401958,7273.500638026372,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.8617434812672147
330,cDC,0.0029774564015312634,5657.167162909401,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.7525990118421464
331,pDC,0.002552105487026797,4849.000425350915,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.6856522222115333
332,Ciliated,0.002552105487026797,4849.000425350915,Dwarfhamster,D0,1,Dwarfhamster_D0_no dose,no dose,3.6856522222115333
333,Bcells,0.2916666666666667,685416.6666666667,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,5.835954660574387
334,Endothelial cells,0.19648692810457516,461744.28104575165,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,5.664401525172044
335,T cells,0.11029411764705882,259191.17647058822,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,5.4136202129572
336,AlveolarMacrophages,0.07230392156862746,169914.21568627452,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,5.23022971516002
337,AT2,0.06535947712418301,153594.77124183008,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,5.186376431454137
338,Treml4+Macrophages,0.05718954248366013,134395.4248366013,Dwarfhamster,D0,2,Dwarfhamster_D0_no dose,no dose,5.128384484476451
