"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FOXI1",22.8748482845666,5.13351364880557,2.38061838467442,2.63369061020173,0.104618279988559,0.176988076269813
"SNX31",3.46063375453864,3.7984610214052,1.94975115468654,2.63350901974342,0.104630243240965,0.176993758508771
"ATP13A5",2.33083139005931,2.86773016647172,1.69180368597003,2.63286614414284,0.104672608190704,0.177050863455536
"MSL1",560.048843735426,-0.387942387779908,0.243928219008037,2.63222012958701,0.104715198926842,0.177108340891723
"CXorf57",17.9163459138952,1.13124977868928,0.672631531810711,2.63172096000605,0.104748121405574,0.177149457971935
"BNC2",13.9629484308693,-1.03670961788593,0.662735731818824,2.63136721175577,0.10477145955976,0.177156946186141
"IQCH-AS1",55.6114271114403,-0.798164149011371,0.50765477660503,2.63125764955416,0.104778688961737,0.177156946186141
"IL1RL2",9.57569043421574,2.28696871901224,1.27909044722228,2.63114379201987,0.104786202368023,0.177156946186141
"NELFA",267.103386547877,0.308958360347134,0.188005104196672,2.63113172426787,0.10478699874802,0.177156946186141
"UFSP1",21.3777119625121,0.688816989393904,0.428460281954067,2.63092022744105,0.104800957009275,0.177165983372845
"AC008691.1",3.96784625462398,1.90733518622118,1.15198958335851,2.63039631553124,0.104835542658797,0.177209886801829
"GLIPR2",6339.5283397617,-0.601757137276145,0.383253579356397,2.63008796546671,0.104855904001837,0.177224736625947
"MPP2",2.01024574214087,2.14150300595033,1.35103781923349,2.62986387640817,0.104870704039384,0.177224736625947
"PLEC",2279.86003752997,0.548074476355394,0.327097324976833,2.62979926608858,0.104874971674872,0.177224736625947
"SCAF11",3388.4611123043,-0.403535400507357,0.254403912878716,2.62974145422831,0.104878790420401,0.177224736625947
"HACL1",186.203891864846,-0.351049751928032,0.220019773441302,2.62945053751655,0.104898009151332,0.177242652229579
"B3GALT1",2.48298365770217,-2.4990298274193,1.72609972306883,2.62822420922102,0.104979066088063,0.177365042253098
"ANKRD33",1.04352721106275,3.10384381019856,1.92543328763826,2.62682744127663,0.105071472235581,0.177506585404559
"USP22",852.783464717776,-0.277937874006139,0.174127768897404,2.6255976665077,0.105152904387686,0.177615543807878
"MCM7",413.854529738708,1.09126177552481,0.629764312634557,2.62559264016031,0.105153237359861,0.177615543807878
"SPRYD3",385.051675873903,0.369358804692524,0.224603510517579,2.62544324440358,0.105163134662629,0.17761767632895
"CFLAR-AS1",22.0968579856421,1.0897525770946,0.666055960421593,2.62527942327209,0.105173988804027,0.177621424441612
"AC022150.1",0.89062882216098,2.81790382398246,1.78763341966485,2.62510952123455,0.105185247139256,NA
"AL603832.3",0.678602904451197,2.7961520266265,1.79976450724144,2.62505206389475,0.10518905477322,NA
"INTS4",217.600038469225,0.204055845777358,0.126400809631421,2.62423540806698,0.105243189981444,0.177717961602042
"AICDA",13.811937263509,-1.12573098976523,0.73686084036298,2.62415638199077,0.105248430152459,0.177717961602042
"KLRF2",0.85062973672963,3.1118075133775,1.98258006649655,2.6239266447945,0.105263665510239,NA
"ASH1L",880.38801324997,-0.334487084001359,0.21016744994766,2.62322920019318,0.105309932377726,0.177807215711222
"MAST1",2.75279215629879,2.20523995589284,1.33431205196284,2.62267182333744,0.105346923498085,0.177855073568254
"EIF4A1",3744.83100151387,0.514740363454223,0.308185644163622,2.62209230795148,0.105385398976322,0.177905429375703
"AC124067.4",4.14350102184749,2.37534325860036,1.52448520053494,2.62181911923694,0.105403542001202,0.177921455683958
"INSL6",1.06657849955106,2.20659909823574,1.97434055318892,2.62121349167026,0.105443775183953,0.17797476454697
"UCP3",12.5857840114874,0.880973077309983,0.545462088338183,2.62089493395789,0.105464944435239,0.177995889976442
"TRADD",1272.86077345799,0.47078675013882,0.282941133727888,2.62069844719798,0.105478003976476,0.178003326096982
"TXLNB",47.1186341170111,0.840653635560976,0.504218989554279,2.62055429382701,0.105487586293372,0.178004893359693
