"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acot13",41.1306412643675,0.043048601179711,0.334056981311416,0.018102600638386,0.892970913858788,0.937536887489289
"Cpsf3",31.12817845889,0.0414724507396125,0.314396032935321,0.0181024475710601,0.892971363630441,0.937536887489289
"Gpr171",9.23716282065938,-0.112803269892131,0.895880591583134,0.0180993961724809,0.892980330236581,0.937536887489289
"Churc1",327.174592163025,-0.0152924051624315,0.115251477326366,0.0180305108827241,0.893182956425428,0.937549956086924
"Ubd",87.3056909783277,-0.061065308298684,0.456655019794336,0.0179612251951227,0.893387158263857,0.937549956086924
"Ldlr",73.2775062619311,0.058693430545603,0.438457544930352,0.0179312428206231,0.893475647916485,0.937549956086924
"Lats1",74.2647001278294,-0.0340099677953635,0.258095886486145,0.0179265203730239,0.893489592559722,0.937549956086924
"Fut7",3.73696537883798,0.0589642642528252,0.90361430772086,0.0179227291367852,0.893500788835684,0.937549956086924
"Tmed7",314.844038509041,0.0231937242543465,0.175178108918507,0.0178878325337024,0.893603902120206,0.937549956086924
"Slc22a5",36.7021150194304,0.0340982500586736,0.262673872318036,0.0178860467997026,0.893609181400404,0.937549956086924
"Abl2",9.34003890501206,-0.062677621741011,0.47226346289547,0.0178074627636491,0.893841770662387,0.937701579686909
"Zfp654",48.7799017714129,0.0399139661827657,0.300021068937442,0.0177560225234004,0.893994303992706,0.937769197498555
"Pi4k2b",34.2547748598677,-0.0374297964187509,0.282722196739594,0.0175761746447094,0.894529373669327,0.938238029894328
"Acot3",1.24427320576224,-0.149089878502072,1.32502622929342,0.0174797568189327,0.894817375937514,NA
"Hexa",60.5518870707021,-0.0365823964136964,0.284713926193846,0.0174521842016162,0.894899884504571,0.938534187383783
"Nsa2",329.374117236959,-0.0156370538132646,0.118638703334426,0.0174016534098911,0.895051265645093,0.938600494959451
"Mfsd13a",10.429821497028,0.0437314941264114,0.446939629264064,0.0173646641459086,0.895162220616094,0.938624400521918
"Adgrf5",5229.48358779807,0.0284040000090526,0.215775049225192,0.0172931213330116,0.895377165931013,0.938757329952486
"Arhgef25",3.51627426030147,-0.153752652104745,1.17474823556826,0.0171948135806801,0.895673263745243,0.938975309087791
"Tbl1x",258.927696061839,-0.0187391403596578,0.144398882568646,0.0170506368043846,0.89610907832397,0.939103916508661
